Proteome Id	Organism	Organism Id	Protein count	BUSCO	CPD	Genome assembly ID
UP000653127	Ligaoa zhengdingensis	2763658	2682	C:98.9%[S:98.9%,D:0.0%],F:0.4%,M:0.8%,n:264	Unknown	GCA_014384885.1
UP000653156	Paralysiella testudinis	2809020	2718	C:99.0%[S:98.9%,D:0.1%],F:0.0%,M:1.0%,n:804	Unknown	GCA_016894345.1
UP000653730	Sinomicrobium weinanense	2842200	4367	C:98.9%[S:98.5%,D:0.4%],F:0.8%,M:0.3%,n:733	Unknown	GCA_014518365.1
UP000653797	Spirosoma validum	2771355	6646	C:99.6%[S:99.3%,D:0.3%],F:0.0%,M:0.4%,n:768	Unknown	GCA_014699035.1
UP000654108	Devosia oryzisoli	2774138	3493	C:97.2%[S:97.2%,D:0.0%],F:0.2%,M:2.7%,n:639	Unknown	GCA_014837245.1
UP000654279	Luoshenia tenuis	2763654	2408	C:98.8%[S:98.8%,D:0.0%],F:0.4%,M:0.8%,n:247	Unknown	GCA_014384745.1
UP000654482	Lusitaniella coriacea LEGE 07157	945747	4954	C:99.6%[S:98.8%,D:0.8%],F:0.0%,M:0.4%,n:773	Unknown	GCA_015207425.1
UP000654947	Nocardiopsis kunsanensis	141693	4612	C:99.0%[S:98.8%,D:0.2%],F:0.3%,M:0.7%,n:1162	Unknown	GCA_014651735.1
UP000654993	Insulibacter thermoxylanivorax	2749268	2877	C:96.7%[S:96.2%,D:0.4%],F:0.7%,M:2.7%,n:450	Unknown	GCA_015472005.1
UP000655208	Nakamurella endophytica	1748367	4425	C:98.6%[S:98.3%,D:0.3%],F:0.3%,M:1.0%,n:292	Unknown	GCA_014646215.1
UP000655366	Arthrobacter terrae	2935737	4034	C:99.3%[S:98.5%,D:0.7%],F:0.0%,M:0.7%,n:537	Unknown	GCA_015708085.1
UP000655523	Paraburkholderia elongata	2675747	9366	C:99.3%[S:96.5%,D:2.8%],F:0.1%,M:0.6%,n:688	Unknown	GCA_013177735.1
UP000655751	Nocardia bovistercoris	2785916	7216	C:98.9%[S:98.9%,D:0.0%],F:0.1%,M:0.9%,n:743	Unknown	GCA_015674855.1
UP000655830	Zhenhengia yiwuensis	2763666	3902	C:100.0%[S:99.2%,D:0.8%],F:0.0%,M:0.0%,n:247	Unknown	GCA_014384995.1
UP000656244	Hyunsoonleella aquatilis	2762758	3300	C:99.7%[S:99.6%,D:0.1%],F:0.0%,M:0.3%,n:733	Close to standard (high value)	GCA_014270105.1
UP000656813	Pullulanibacillus pueri	1437324	4316	C:98.2%[S:97.6%,D:0.7%],F:0.4%,M:1.3%,n:450	Unknown	GCA_014639255.1
UP000657006	Bianquea renquensis	2763661	3382	C:99.2%[S:98.9%,D:0.4%],F:0.8%,M:0.0%,n:264	Unknown	GCA_014384895.1
UP000657177	Capillibacterium thermochitinicola	2699427	2235	C:89.4%[S:89.0%,D:0.5%],F:0.9%,M:9.6%,n:218	Unknown	GCA_013664685.1
UP000657200	Acetobacter ghanensis	431306	2507	C:99.1%[S:98.8%,D:0.2%],F:0.0%,M:0.9%,n:432	Unknown	GCA_011516865.1
UP000657385	Streptacidiphilus fuscans	2789292	7181	C:97.4%[S:90.3%,D:7.1%],F:0.1%,M:2.5%,n:1579	Unknown	GCA_015690355.1
UP000657574	Streptomyces brasiliensis	1954	10060	C:99.6%[S:98.6%,D:0.9%],F:0.0%,M:0.4%,n:1579	Unknown	GCA_014647875.1
UP000657592	Microbacterium album	2053191	3139	C:99.4%[S:99.3%,D:0.2%],F:0.2%,M:0.4%,n:537	Unknown	GCA_014643695.1
UP000658225	Sporosarcina limicola	34101	4288	C:98.7%[S:98.7%,D:0.0%],F:0.7%,M:0.7%,n:450	Unknown	GCA_014873855.1
UP000658320	Streptomyces aurantiogriseus	66870	9744	C:99.7%[S:98.9%,D:0.8%],F:0.0%,M:0.3%,n:1579	Unknown	GCA_014649375.1
UP000658613	Corynebacterium aquatimens	1190508	2191	C:96.6%[S:96.1%,D:0.5%],F:0.4%,M:3.0%,n:743	Unknown	GCA_015752125.1
UP000659047	Tenebrionibacter intestinalis	2799638	3506	C:99.8%[S:99.5%,D:0.2%],F:0.0%,M:0.2%,n:440	Unknown	GCA_016632365.1
UP000659388	Fulvivirga sediminis	2803949	4615	C:99.5%[S:98.7%,D:0.8%],F:0.1%,M:0.4%,n:768	Unknown	GCA_016757215.1
UP000659438	Pseudomonas marvdashtae	2745500	5219	C:99.5%[S:99.5%,D:0.0%],F:0.0%,M:0.5%,n:782	Unknown	GCA_014268655.2
UP000660611	Dactylosporangium siamense	685454	11288	C:99.0%[S:97.3%,D:1.7%],F:0.0%,M:1.0%,n:292	Unknown	GCA_016862795.1
UP000660708	Pseudoalteromonas peptidolytica F12-50-A1	1315280	4663	C:99.0%[S:98.5%,D:0.5%],F:0.9%,M:0.1%,n:820	Unknown	GCA_014858745.1
UP000660861	Zongyangia hominis	2763677	2263	C:98.9%[S:98.9%,D:0.0%],F:0.8%,M:0.4%,n:264	Unknown	GCA_014385095.1
UP000661012	Erwinia persicina	55211	4720	C:100.0%[S:99.5%,D:0.5%],F:0.0%,M:0.0%,n:440	Unknown	GCA_014839305.1
UP000661691	Polycladospora coralii	2771432	3277	C:94.2%[S:94.0%,D:0.2%],F:0.2%,M:5.6%,n:450	Unknown	GCA_014773425.1
UP000662185	Anabaena sphaerica FACHB-251	2692883	5110	C:99.4%[S:99.1%,D:0.3%],F:0.2%,M:0.5%,n:1899	Unknown	GCA_014696825.1
UP000662200	Pilimelia terevasa	53372	4147	C:97.9%[S:97.6%,D:0.3%],F:0.3%,M:1.7%,n:292	Outlier (low value)	GCA_014647915.1
UP000662618	Chryseobacterium aquaeductus	2675056	3162	C:99.9%[S:99.5%,D:0.4%],F:0.0%,M:0.1%,n:733	Unknown	GCA_905175375.1
UP000662783	Fulvivirga lutea	2810512	3608	C:98.2%[S:97.8%,D:0.4%],F:0.0%,M:1.8%,n:768	Unknown	GCA_017068455.1
UP000662857	Natronosporangium hydrolyticum	2811111	5027	C:98.6%[S:97.9%,D:0.7%],F:0.3%,M:1.0%,n:292	Outlier (low value)	GCA_016925615.1
UP000662904	Koleobacter methoxysyntrophicus	2751313	2925	C:97.6%[S:96.0%,D:1.6%],F:0.4%,M:2.0%,n:247	Unknown	GCA_017301615.1
UP000662939	Natronoglycomyces albus	2811108	3365	C:98.3%[S:97.9%,D:0.3%],F:0.0%,M:1.7%,n:292	Unknown	GCA_016925535.1
UP000663067	Bifidobacterium imperatoris	2020965	2101	C:95.9%[S:94.9%,D:1.0%],F:0.3%,M:3.8%,n:292	Unknown	GCA_017357045.1
UP000663075	Candidatus Nasuia deltocephalinicola	1160784	135	C:1.9%[S:1.9%,D:0.0%],F:0.4%,M:97.7%,n:569	Unknown	GCA_017086605.1
UP000663281	Shewanella cyperi	2814292	3528	C:99.8%[S:99.5%,D:0.2%],F:0.0%,M:0.2%,n:820	Unknown	GCA_017354925.1
UP000663444	Azospira restricta	404405	3712	C:99.3%[S:99.1%,D:0.2%],F:0.0%,M:0.7%,n:569	Unknown	GCA_016858125.1
UP000663499	Alkalibacter rhizosphaerae	2815577	2311	C:95.1%[S:94.7%,D:0.4%],F:2.3%,M:2.7%,n:264	Unknown	GCA_017352215.1
UP000663505	Alicyclobacillus mengziensis	2931921	4716	C:92.2%[S:91.8%,D:0.4%],F:1.3%,M:6.4%,n:450	Unknown	GCA_017298635.1
UP000663608	Lactococcus taiwanensis	1151742	1846	C:98.8%[S:98.8%,D:0.0%],F:0.5%,M:0.7%,n:402	Unknown	GCA_017068355.1
UP000663720	Desulfonema limicola	45656	6030	C:95.8%[S:94.8%,D:1.0%],F:0.7%,M:3.5%,n:599	Unknown	GCA_017377355.1
UP000663903	Ottowia testudinis	2816950	3941	C:98.5%[S:98.5%,D:0.0%],F:0.0%,M:1.5%,n:688	Unknown	GCA_017498525.1
UP000663918	Brevundimonas goettingensis	2774190	3787	C:99.3%[S:98.8%,D:0.5%],F:0.2%,M:0.5%,n:432	Unknown	GCA_017487405.1
UP000663920	Polaribacter cellanae	2818493	3457	C:99.2%[S:99.2%,D:0.0%],F:0.0%,M:0.8%,n:733	Unknown	GCA_017569185.1
UP000663929	Sulfidibacter corallicola	2818388	6898	C:65.9%[S:64.2%,D:1.7%],F:2.2%,M:31.9%,n:601	Unknown	GCA_017498545.1
UP000663937	Pengzhenrongella sicca	2819238	3899	C:99.1%[S:98.5%,D:0.6%],F:0.2%,M:0.7%,n:537	Unknown	GCA_017569225.1
UP000663940	Mucilaginibacter rubeus	2027860	6575	C:97.8%[S:96.4%,D:1.4%],F:0.2%,M:2.0%,n:1068	Unknown	GCA_017569365.1
UP000663954	Acinetobacter towneri	202956	2540	C:99.2%[S:98.9%,D:0.3%],F:0.0%,M:0.8%,n:366	Outlier (low value)	GCA_017498605.1
UP000664034	Fibrella rubiginis	2817060	5193	C:99.6%[S:99.6%,D:0.0%],F:0.1%,M:0.3%,n:768	Unknown	GCA_017353185.1
UP000664122	Jiella flava	2816857	3665	C:99.4%[S:98.9%,D:0.5%],F:0.0%,M:0.6%,n:639	Unknown	GCA_017349315.1
UP000664545	Clostridium aminobutyricum	33953	2891	C:98.9%[S:98.1%,D:0.8%],F:0.4%,M:0.8%,n:264	Close to standard (low value)	GCA_017255415.1
UP000664654	Bowmanella dokdonensis	751969	4560	C:99.9%[S:99.8%,D:0.1%],F:0.0%,M:0.1%,n:820	Unknown	GCA_017254865.1
UP000664781	Streptomyces triculaminicus	2816232	6242	C:97.0%[S:96.7%,D:0.3%],F:0.2%,M:2.8%,n:1579	Close to standard (low value)	GCA_017349075.1
UP000664904	Pseudoalteromonas xiamenensis	882626	3596	C:84.0%[S:83.5%,D:0.5%],F:0.2%,M:15.7%,n:820	Unknown	GCA_017638925.1
UP000665020	Iocasia fonsfrigidae	2682810	3612	C:95.1%[S:93.9%,D:1.2%],F:0.8%,M:4.0%,n:247	Unknown	GCA_017751145.1
UP000667650	Flagellimonas ochracea	2696472	3252	C:99.5%[S:99.3%,D:0.1%],F:0.0%,M:0.5%,n:733	Unknown	GCA_009903685.1
UP000671852	Sulfurimonas aquatica	2672570	2626	C:96.0%[S:95.2%,D:0.8%],F:0.3%,M:3.7%,n:628	Unknown	GCA_017357825.1
UP000671879	Aminithiophilus ramosus	3029084	2651	C:98.6%[S:97.7%,D:0.9%],F:0.0%,M:1.4%,n:655	Unknown	GCA_018069705.1
UP000671908	Treponema parvum	138851	2251	C:98.8%[S:98.6%,D:0.3%],F:0.0%,M:1.2%,n:345	Unknown	GCA_017893965.1
UP000671913	Aceticella autotrophica	2755338	2040	C:98.1%[S:98.1%,D:0.0%],F:0.2%,M:1.7%,n:476	Unknown	GCA_017357865.1
UP000671914	Agromyces archimandritae	2781962	3066	C:99.4%[S:99.3%,D:0.2%],F:0.0%,M:0.6%,n:537	Unknown	GCA_018024495.1
UP000672009	Thiothrix unzii	111769	3541	C:98.8%[S:98.0%,D:0.8%],F:0.0%,M:1.2%,n:491	Unknown	GCA_017901175.1
UP000672038	Loofah witches'-broom phytoplasma	35773	493	C:92.7%[S:88.1%,D:4.6%],F:0.7%,M:6.6%,n:151	Unknown	GCA_018024475.1
UP000674938	Vagococcus allomyrinae	2794353	5267	C:99.3%[S:97.8%,D:1.5%],F:0.2%,M:0.5%,n:402	Unknown	GCA_017829975.1
UP000675920	Derxia gummosa DSM 723	1121388	4335	C:97.2%[S:96.5%,D:0.7%],F:0.0%,M:2.8%,n:688	Outlier (high value)	GCF_000482785.1
UP000676169	Luteolibacter ambystomatis	2824561	4109	C:98.7%[S:97.7%,D:1.1%],F:0.4%,M:0.8%,n:471	Unknown	GCA_018137965.1
UP000676194	Telmatocola sphagniphila	1123043	5173	C:94.9%[S:94.4%,D:0.5%],F:0.9%,M:4.2%,n:571	Unknown	GCA_018398935.1
UP000676246	Ideonella alba	2824118	4843	C:98.7%[S:98.0%,D:0.7%],F:0.6%,M:0.7%,n:688	Unknown	GCA_018069845.1
UP000676409	Phenylobacterium montanum	2823693	5073	C:99.3%[S:98.4%,D:0.9%],F:0.2%,M:0.5%,n:432	Outlier (high value)	GCA_018135625.1
UP000676456	Lederbergia citrea	2833581	3933	C:98.9%[S:98.9%,D:0.0%],F:0.0%,M:1.1%,n:450	Unknown	GCA_018343635.1
UP000676511	Streptococcus lactarius	684066	1944	C:99.5%[S:99.0%,D:0.5%],F:0.2%,M:0.2%,n:402	Unknown	GCA_018127725.1
UP000676649	Methylomonas paludis	1173101	3164	C:98.6%[S:97.8%,D:0.8%],F:0.5%,M:0.8%,n:366	Unknown	GCA_018734325.1
UP000676885	Arthrobacter jiangjiafuii	2817475	3281	C:99.1%[S:98.7%,D:0.4%],F:0.2%,M:0.7%,n:537	Outlier (high value)	GCA_018622995.1
UP000676917	Ornithinibacillus bavariensis	545502	3470	C:96.7%[S:96.7%,D:0.0%],F:0.0%,M:3.3%,n:450	Close to standard (low value)	GCA_018333235.1
UP000676951	Bradyrhizobium sediminis	2840469	5113	C:99.8%[S:98.1%,D:1.7%],F:0.0%,M:0.2%,n:639	Unknown	GCA_018736125.1
UP000676996	Stakelama marina	2826939	3172	C:99.5%[S:99.5%,D:0.0%],F:0.1%,M:0.4%,n:1018	Unknown	GCA_018122655.1
UP000677117	Candidatus Minimicrobia vallesae	2841264	809	C:33.9%[S:33.9%,D:0.0%],F:13.7%,M:52.4%,n:124	Unknown	GCA_018866205.1
UP000677234	Brevibacillus composti	2796470	4086	C:99.1%[S:98.9%,D:0.2%],F:0.2%,M:0.7%,n:450	Unknown	GCA_018228725.1
UP000677305	Vallitalea guaymasensis	1185412	4715	C:100.0%[S:100.0%,D:0.0%],F:0.0%,M:0.0%,n:247	Unknown	GCA_018141425.1
UP000677436	Polycladomyces abyssicola	1125966	3199	C:95.6%[S:94.7%,D:0.9%],F:0.4%,M:4.0%,n:450	Unknown	GCA_018326425.1
UP000677537	Pararoseomonas indoligenes	2820811	5412	C:99.1%[S:98.6%,D:0.5%],F:0.7%,M:0.2%,n:432	Unknown	GCA_017813365.1
UP000678374	Ideonella aquatica	2824119	4692	C:98.7%[S:98.0%,D:0.7%],F:0.4%,M:0.9%,n:688	Unknown	GCA_018069755.1
UP000678679	Flammeovirga yaeyamensis	367791	5554	C:98.4%[S:97.4%,D:1.0%],F:0.3%,M:1.3%,n:768	Unknown	GCA_018736045.1
UP000679284	Falsirhodobacter algicola	2692330	2641	C:94.7%[S:94.7%,D:0.0%],F:0.0%,M:5.3%,n:833	Unknown	GCA_018279165.1
UP000679352	Gemmobacter fulvus	2840474	4323	C:99.8%[S:99.5%,D:0.2%],F:0.1%,M:0.1%,n:833	Unknown	GCA_018798885.1
UP000679373	Clostridium beijerinckii (Clostridium MP)	1520	4963	C:100.0%[S:98.1%,D:1.9%],F:0.0%,M:0.0%,n:264	Unknown	GCA_018223745.1
UP000679848	Pusillibacter faecalis	2714358	3463	C:98.5%[S:98.5%,D:0.0%],F:0.0%,M:1.5%,n:264	Unknown	GCA_018408705.1
UP000680038	Dyadobacter helix	2822344	6034	C:99.3%[S:99.0%,D:0.4%],F:0.1%,M:0.5%,n:768	Unknown	GCA_907164905.1
UP000680588	Arthrobacter sunyaminii	2816859	3482	C:99.8%[S:99.1%,D:0.7%],F:0.2%,M:0.0%,n:537	Unknown	GCA_018866305.1
UP000680750	Actinocatenispora sera	390989	6529	C:99.3%[S:98.6%,D:0.7%],F:0.3%,M:0.3%,n:292	Standard	GCA_018324685.1
UP000680866	Polymorphospora rubra	338584	7459	C:95.9%[S:94.2%,D:1.7%],F:2.7%,M:1.4%,n:292	Unknown	GCA_018324255.1
UP000681035	Vescimonas coprocola	2714355	2426	C:94.7%[S:94.3%,D:0.4%],F:1.1%,M:4.2%,n:264	Unknown	GCA_018408575.1
UP000681131	Francisella adeliensis	2007306	1876	C:99.8%[S:99.6%,D:0.2%],F:0.0%,M:0.2%,n:491	Unknown	GCA_012224465.1
UP000681343	Vescimonas fastidiosa	2714353	2412	C:93.9%[S:93.6%,D:0.4%],F:0.4%,M:5.7%,n:264	Unknown	GCA_018326305.1
UP000681414	Lederbergia citri	2833580	4567	C:99.1%[S:98.7%,D:0.4%],F:0.0%,M:0.9%,n:450	Unknown	GCA_018343625.1
UP000681425	Sphingobium phenoxybenzoativorans	1592790	4550	C:99.6%[S:98.3%,D:1.3%],F:0.0%,M:0.4%,n:1018	Unknown	GCA_018286635.1
UP000682005	Prevotella fusca JCM 17724	1236517	2385	C:99.4%[S:99.3%,D:0.2%],F:0.0%,M:0.6%,n:541	Unknown	GCA_018128145.1
UP000682134	Gottfriedia endophytica	2820819	3800	C:98.7%[S:98.4%,D:0.2%],F:0.2%,M:1.1%,n:450	Unknown	GCA_017814275.1
UP000682202	Mycobacterium spongiae	886343	4337	C:99.3%[S:98.9%,D:0.4%],F:0.0%,M:0.7%,n:743	Unknown	GCA_018278905.1
UP000682416	Nocardiopsis eucommiae	2831970	3486	C:64.2%[S:64.1%,D:0.1%],F:0.0%,M:35.8%,n:1162	Unknown	GCA_018388625.1
UP000682713	Lederbergia citrisecunda	2833583	4421	C:98.9%[S:98.7%,D:0.2%],F:0.0%,M:1.1%,n:450	Unknown	GCA_018343695.1
UP000682739	Psychrosphaera ytuae	2820710	2833	C:98.9%[S:98.8%,D:0.1%],F:0.4%,M:0.7%,n:820	Unknown	GCA_017638545.1
UP000683246	Vallitalea pronyensis	1348613	5165	C:100.0%[S:99.6%,D:0.4%],F:0.0%,M:0.0%,n:247	Unknown	GCA_018141445.1
UP000683291	Sulfitobacter albidus	2829501	3394	C:90.8%[S:90.8%,D:0.0%],F:0.2%,M:9.0%,n:833	Unknown	GCA_018200035.1
UP000683421	Francisella salimarina	2599927	1831	C:99.8%[S:99.8%,D:0.0%],F:0.0%,M:0.2%,n:491	Unknown	GCA_018972105.1
UP000683428	Azospira inquinata	2785627	2867	C:99.1%[S:98.6%,D:0.5%],F:0.2%,M:0.7%,n:569	Unknown	GCA_018905915.1
UP000683429	Paenibacillus sophorae	1333845	5461	C:99.1%[S:98.7%,D:0.4%],F:0.4%,M:0.4%,n:450	Unknown	GCA_018966525.1
UP000683436	Stutzerimonas zhaodongensis	1176257	4371	C:98.2%[S:97.8%,D:0.4%],F:0.0%,M:1.8%,n:782	Unknown	GCA_018972185.1
UP000683507	Parvicella tangerina	2829795	3545	C:93.2%[S:92.4%,D:0.8%],F:0.7%,M:6.1%,n:733	Unknown	GCA_907165195.1
UP000683511	Richelia sinica FACHB-800	1357546	5197	C:98.1%[S:97.8%,D:0.3%],F:0.4%,M:1.5%,n:1899	Unknown	GCA_019056575.1
UP000683575	Nocardioides panacis	2849501	4438	C:91.4%[S:91.1%,D:0.3%],F:0.2%,M:8.5%,n:649	Unknown	GCA_019039255.1
UP000683579	Citrobacter pasteurii	1563222	4636	C:100.0%[S:99.8%,D:0.2%],F:0.0%,M:0.0%,n:440	Unknown	GCA_019047765.1
UP000683583	Enterobacter cancerogenus	69218	4408	C:100.0%[S:99.8%,D:0.2%],F:0.0%,M:0.0%,n:440	Unknown	GCA_019047785.1
UP000693996	Candidatus Vallotiella hemipterorum	1177213	779	C:69.6%[S:69.6%,D:0.0%],F:0.3%,M:30.1%,n:688	Unknown	GCA_910593725.1
UP000694001	Elioraea tepida	2843330	3072	C:98.6%[S:98.4%,D:0.2%],F:0.0%,M:1.4%,n:432	Unknown	GCA_019203965.1
UP000694232	Vibrio ostreae	2841925	3917	C:95.8%[S:94.4%,D:1.4%],F:0.0%,M:4.2%,n:1445	Unknown	GCA_019226825.1
UP000694308	Clostridium thailandense	2794346	5704	C:99.2%[S:96.2%,D:3.0%],F:0.4%,M:0.4%,n:264	Unknown	GCA_019207025.1
UP000694660	Denitromonas iodatirespirans	2795389	4795	C:99.6%[S:99.1%,D:0.5%],F:0.2%,M:0.2%,n:569	Unknown	GCA_018524365.1
UP000698242	Profundibacterium mesophilum KAUST100406-0324	1037889	3300	C:98.4%[S:98.2%,D:0.2%],F:0.0%,M:1.6%,n:833	Unknown	GCA_009835145.1
UP000701999	Francisella noatunensis	657445	1432	C:95.9%[S:95.9%,D:0.0%],F:0.4%,M:3.7%,n:491	Unknown	GCA_016605325.1
UP000702954	Faecalimonas umbilicata	1912855	3076	C:99.2%[S:98.0%,D:1.2%],F:0.8%,M:0.0%,n:247	Unknown	GCA_003402615.1
UP000707206	Pelagihabitans pacificus	2696054	3934	C:99.5%[S:99.2%,D:0.3%],F:0.1%,M:0.4%,n:733	Unknown	GCA_009371985.2
UP000708298	Acidisoma silvae	2802396	5049	C:99.1%[S:98.4%,D:0.7%],F:0.0%,M:0.9%,n:432	Unknown	GCA_020618775.1
UP000712080	Flavobacterium silvaticum	1852020	3263	C:99.0%[S:98.9%,D:0.1%],F:0.3%,M:0.7%,n:733	Unknown	GCA_012911565.1
UP000712157	Diplocloster agilis	2850323	4810	C:99.6%[S:99.2%,D:0.4%],F:0.0%,M:0.4%,n:247	Unknown	GCA_019042275.1
UP000717364	Leptothoe spongobia TAU-MAC 1115	1967444	4256	C:72.2%[S:71.9%,D:0.3%],F:0.3%,M:27.6%,n:773	Unknown	GCA_018739885.1
UP000717981	Pseudoxanthomonas taiwanensis	176598	2664	C:96.9%[S:96.7%,D:0.2%],F:0.3%,M:2.9%,n:1152	Unknown	GCA_010093135.1
UP000721844	Acidisoma cellulosilyticum	2802395	5558	C:98.6%[S:97.9%,D:0.7%],F:0.5%,M:0.9%,n:432	Unknown	GCA_020621385.1
UP000724672	Anaeromonas frigoriresistens	2683708	3345	C:99.2%[S:98.1%,D:1.1%],F:0.4%,M:0.4%,n:264	Unknown	GCA_016820655.1
UP000731519	Streptomyces fradiae ATCC 10745 = DSM 40063	1319510	5735	C:97.8%[S:97.0%,D:0.8%],F:0.4%,M:1.8%,n:1579	Unknown	GCA_009834665.1
UP000739565	Zwartia hollandica	324606	3009	C:97.7%[S:97.7%,D:0.0%],F:0.4%,M:1.9%,n:688	Unknown	GCA_019923725.1
UP000742786	Georgfuchsia toluolica	424218	3292	C:95.9%[S:94.9%,D:1.1%],F:0.7%,M:3.4%,n:738	Unknown	GCA_907163265.1
UP000744769	Metallococcus carri	1656884	3286	C:98.1%[S:98.0%,D:0.2%],F:0.2%,M:1.7%,n:537	Unknown	GCA_011440275.1
UP000744980	Ensifer canadensis	555315	7213	C:100.0%[S:99.5%,D:0.5%],F:0.0%,M:0.0%,n:639	Unknown	GCA_016865175.1
UP000746420	Tenebrionicola larvae	2815733	3522	C:100.0%[S:99.8%,D:0.2%],F:0.0%,M:0.0%,n:440	Unknown	GCA_019148575.1
UP000748067	Pseudomonas antarctica	219572	5732	C:99.9%[S:99.6%,D:0.3%],F:0.0%,M:0.1%,n:782	Unknown	GCA_010634845.1
UP000752012	Alkalicoccus luteus	1237094	3475	C:99.3%[S:99.1%,D:0.2%],F:0.2%,M:0.4%,n:450	Unknown	GCA_012034335.1
UP000755577	Burkholderia anthina	179879	6778	C:100.0%[S:99.4%,D:0.6%],F:0.0%,M:0.0%,n:688	Unknown	GCA_016836725.1
UP000769022	Candidatus Phytoplasma asiaticum	2763338	466	C:86.1%[S:84.8%,D:1.3%],F:3.3%,M:10.6%,n:151	Unknown	GCA_015100165.3
UP000773614	Propylenella binzhouense	2555902	4454	C:98.0%[S:97.8%,D:0.2%],F:1.6%,M:0.5%,n:639	Unknown	GCA_009866965.1
UP000774283	Sanguibacter hominis ATCC BAA-789	1312740	2608	C:98.9%[S:98.7%,D:0.2%],F:0.6%,M:0.6%,n:537	Unknown	GCA_012396185.1
UP000778951	Entomospira culicis	2719989	1616	C:85.2%[S:84.9%,D:0.3%],F:1.4%,M:13.3%,n:345	Unknown	GCA_011813005.1
UP000783934	Paenalcaligenes hominis	643674	2580	C:94.9%[S:94.9%,D:0.0%],F:0.6%,M:4.5%,n:688	Unknown	GCA_011927625.1
UP000787472	Pseudomaricurvus hydrocarbonicus	1470433	4648	C:98.9%[S:98.1%,D:0.8%],F:0.1%,M:1.0%,n:913	Unknown	GCA_011602365.1
UP000789617	Klebsiella variicola	244366	5241	C:99.1%[S:98.4%,D:0.7%],F:0.2%,M:0.7%,n:440	Unknown	GCA_905335775.2
UP000789704	Paraburkholderia saeva	2777537	5787	C:99.9%[S:99.9%,D:0.0%],F:0.0%,M:0.1%,n:688	Unknown	GCA_907164555.1
UP000789845	Pseudoneobacillus rhizosphaerae	2880968	4516	C:99.3%[S:98.9%,D:0.4%],F:0.2%,M:0.4%,n:450	Standard	GCA_917563885.1
UP000799092	Aquibacillus halophilus	930132	4133	C:99.6%[S:99.1%,D:0.4%],F:0.0%,M:0.4%,n:450	Unknown	GCA_009649745.1
UP000806577	Pectobacterium quasiaquaticum	2774015	3822	C:100.0%[S:99.8%,D:0.2%],F:0.0%,M:0.0%,n:440	Unknown	GCA_014946775.2
UP000811399	Campylobacter vulpis	1655500	1667	C:99.4%[S:99.4%,D:0.0%],F:0.0%,M:0.6%,n:628	Unknown	GCA_018344325.1
UP000814078	Pseudomonas simiae	321846	5669	C:99.7%[S:99.7%,D:0.0%],F:0.1%,M:0.1%,n:782	Unknown	GCA_021606445.1
UP000814172	Pseudomonas proteolytica	219574	5975	C:99.6%[S:99.5%,D:0.1%],F:0.3%,M:0.1%,n:782	Standard	GCA_021605255.1
UP000824976	Dickeya zeae	204042	4078	C:100.0%[S:99.5%,D:0.5%],F:0.0%,M:0.0%,n:440	Unknown	GCA_019464635.1
UP000824988	Methylogaea oryzae	1295382	3503	C:98.1%[S:97.8%,D:0.3%],F:1.1%,M:0.8%,n:366	Unknown	GCA_019669985.1
UP000825009	Gymnodinialimonas ceratoperidinii	2856823	3428	C:99.9%[S:99.8%,D:0.1%],F:0.0%,M:0.1%,n:833	Outlier (low value)	GCA_019297855.1
UP000825051	Horticoccus luteus	2862869	3392	C:99.4%[S:98.9%,D:0.4%],F:0.2%,M:0.4%,n:471	Unknown	GCA_019464535.1
UP000825066	Stenotrophomonas pavanii	487698	4136	C:99.7%[S:99.6%,D:0.2%],F:0.2%,M:0.1%,n:1152	Unknown	GCA_019704495.1
UP000825179	Caldalkalibacillus thermarum (strain TA2.A1)	986075	3041	C:93.6%[S:93.3%,D:0.2%],F:0.4%,M:6.0%,n:450	Close to standard (low value)	GCA_019856495.1
UP000825701	Chenggangzhangella methanolivorans	1437009	4352	C:70.0%[S:70.0%,D:0.0%],F:1.1%,M:29.0%,n:639	Unknown	GCA_019797865.1
UP000826300	Neotabrizicola shimadae	2807096	4140	C:99.4%[S:99.3%,D:0.1%],F:0.0%,M:0.6%,n:833	Unknown	GCA_019623905.1
UP000826513	Agrobacterium larrymoorei	160699	4975	C:98.1%[S:97.7%,D:0.4%],F:0.0%,M:1.9%,n:1937	Unknown	GCA_019355895.1
UP000826722	Methyloradius palustris	2778876	2575	C:98.9%[S:98.2%,D:0.7%],F:0.4%,M:0.7%,n:738	Unknown	GCA_019703875.1
UP000826725	Desulfomarina profundi	2772557	3935	C:87.9%[S:87.1%,D:0.8%],F:8.1%,M:4.0%,n:124	Unknown	GCA_019703855.1
UP000826802	Macrococcoides bohemicum	1903056	2412	C:96.7%[S:96.7%,D:0.0%],F:0.7%,M:2.7%,n:450	Unknown	GCA_019357575.1
UP000827069	Acinetobacter septicus	465797	3343	C:98.6%[S:97.8%,D:0.8%],F:0.3%,M:1.1%,n:366	Unknown	GCA_019355975.1
UP000829401	Alicyclobacillus acidoterrestris (strain ATCC 49025 / DSM 3922 / CIP 106132 / NCIMB 13137 / GD3B)	1356854	3896	C:91.6%[S:90.7%,D:0.9%],F:2.0%,M:6.4%,n:450	Unknown	GCA_022674245.1
