From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Proteomes
A0A6L9Y1H2	A0A6L9Y1H2	unreviewed	A0A6L9Y1H2_9MICO	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	G3T36_16655	Diaminobutyricibacter tongyongensis	528	UP000474967: Unassembled WGS sequence
A0A6L9Y6M7	A0A6L9Y6M7	unreviewed	A0A6L9Y6M7_9BURK	DNA-3-methyladenine glycosylase 2 family protein	F9B74_03785	Pelistega ratti	275	UP000477651: Unassembled WGS sequence
A0A6M1PR58	A0A6M1PR58	unreviewed	A0A6M1PR58_9BACL	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	G5B47_21590	Paenibacillus apii	299	UP000480151: Unassembled WGS sequence
A0A6M1R4D4	A0A6M1R4D4	unreviewed	A0A6M1R4D4_9ACTN	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	G5C66_07225	Nocardioides turkmenicus	495	UP000483261: Unassembled WGS sequence
A0A6M2B4I6	A0A6M2B4I6	unreviewed	A0A6M2B4I6_9GAMM	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	alkA GW579_12605	Rahnella contaminans	290	UP000476696: Unassembled WGS sequence
A0A6M2BX39	A0A6M2BX39	unreviewed	A0A6M2BX39_9GAMM	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	G7Y85_18405	Solimonas terrae	264	UP000472676: Unassembled WGS sequence
A0A6M3KTF8	A0A6M3KTF8	unreviewed	A0A6M3KTF8_9ZZZZ	Putative DNA-3-methyladenine glycosylase	MM415A00183_0055 MM415B00339_0002	viral metagenome	452	
A0A6M4A8N7	A0A6M4A8N7	unreviewed	A0A6M4A8N7_9BURK	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	EJG51_011590	Undibacterium piscinae	497	UP000274350: Chromosome
A0A6M4GPA3	A0A6M4GPA3	unreviewed	A0A6M4GPA3_9PROT	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	alkA_1 DSM104443_00205	Usitatibacter rugosus	476	UP000501534: Chromosome
A0A6M4H1U9	A0A6M4H1U9	unreviewed	A0A6M4H1U9_9PROT	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	alkA_1 DSM104440_00213	Usitatibacter palustris	480	UP000503096: Chromosome
A0A6M4MIC2	A0A6M4MIC2	unreviewed	A0A6M4MIC2_9ALTE	Helix-turn-helix domain-containing protein	CA267_008160	Alteromonas pelagimontana	478	UP000219285: Chromosome
A0A6M4PFK2	A0A6M4PFK2	unreviewed	A0A6M4PFK2_9ACTN	Helix-turn-helix domain-containing protein	HKX69_07005	Streptomyces argyrophylli	465	UP000502641: Chromosome
A0A6M4PT83	A0A6M4PT83	unreviewed	A0A6M4PT83_9ACTN	Probable bifunctional transcriptional activator/DNA repair enzyme AlkA (EC 2.1.1.n11) (EC 3.2.2.21) (Regulatory protein AlkA)	HKX69_05610	Streptomyces argyrophylli	488	UP000502641: Chromosome
A0A6M4WWI1	A0A6M4WWI1	unreviewed	A0A6M4WWI1_9ACTN	Helix-turn-helix domain-containing protein	G9272_35150	Streptomyces asoensis	469	UP000502665: Chromosome
A0A6M4X2W6	A0A6M4X2W6	unreviewed	A0A6M4X2W6_9ACTN	Probable bifunctional transcriptional activator/DNA repair enzyme AlkA (EC 2.1.1.n11) (EC 3.2.2.21) (Regulatory protein AlkA)	G9272_35920	Streptomyces asoensis	492	UP000502665: Chromosome
A0A6M4YG68	A0A6M4YG68	unreviewed	A0A6M4YG68_AERME	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	E4184_17685	Aeromonas media	506	UP000501427: Chromosome
A0A6M5ULG7	A0A6M5ULG7	unreviewed	A0A6M5ULG7_9MICO	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	FIC82_019205	Cellulosimicrobium protaetiae	544	UP000451354: Chromosome
A0A6M6JD29	A0A6M6JD29	unreviewed	A0A6M6JD29_9PSEU	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	HOP40_03375	Pseudonocardia broussonetiae	490	UP000505377: Chromosome
A0A6M8MD90	A0A6M8MD90	unreviewed	A0A6M8MD90_9PSED	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	FX982_03698	Pseudomonas graminis	306	UP000501989: Chromosome
A0A6M8UA34	A0A6M8UA34	unreviewed	A0A6M8UA34_9GAMM	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	PMPD1_1468	Paramixta manurensis	490	UP000505325: Chromosome
A0A6N2SEK2	A0A6N2SEK2	unreviewed	A0A6N2SEK2_CITAM	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	alkA CALFYP1_02039	Citrobacter amalonaticus	289	
A0A6N2THG6	A0A6N2THG6	unreviewed	A0A6N2THG6_9BACT	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	alkA AMLFYP55_00412	Akkermansia muciniphila	500	
A0A6N2Z5E0	A0A6N2Z5E0	unreviewed	A0A6N2Z5E0_ENTAG	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	alkA PALFYP105_02357	Enterobacter agglomerans (Erwinia herbicola) (Pantoea agglomerans)	290	
A0A6N2ZDV5	A0A6N2ZDV5	unreviewed	A0A6N2ZDV5_STASI	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	alkA SSLFYP27_00570	Staphylococcus simulans	342	
A0A6N3HCZ6	A0A6N3HCZ6	unreviewed	A0A6N3HCZ6_9ENTR	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	alkA EMLFYP7_03821	Phytobacter massiliensis	280	
A0A6N3JUI6	A0A6N3JUI6	unreviewed	A0A6N3JUI6_9ACTN	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	DVH21_03375	Micromonospora aurantiaca (nom. illeg.)	483	UP000253958: Chromosome
A0A6N3QF69	A0A6N3QF69	unreviewed	A0A6N3QF69_SHIFL	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	SGF_04104	Shigella flexneri CDC 796-83	285	UP000003302: Unassembled WGS sequence
A0A6N3QZP7	A0A6N3QZP7	unreviewed	A0A6N3QZP7_SHIFL	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	alkA SFCCH060_2335	Shigella flexneri CCH060	285	UP000005406: Unassembled WGS sequence
A0A6N4RAC2	A0A6N4RAC2	unreviewed	A0A6N4RAC2_BLAVI	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	DI628_06970	Blastochloris viridis (Rhodopseudomonas viridis)	477	UP000320948: Unassembled WGS sequence
A0A6N4UYI1	A0A6N4UYI1	unreviewed	A0A6N4UYI1_9MYCO	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	MALV_51150	Mycolicibacterium alvei	500	UP000466906: Chromosome
A0A6N4VGX2	A0A6N4VGX2	unreviewed	A0A6N4VGX2_9MYCO	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	MPOR_44140	Mycolicibacterium poriferae	495	UP000466785: Chromosome
A0A6N4W9A7	A0A6N4W9A7	unreviewed	A0A6N4W9A7_9MYCO	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	alkA MANY_22700	Mycolicibacterium anyangense	497	UP000467249: Chromosome
A0A6N6K6H6	A0A6N6K6H6	unreviewed	A0A6N6K6H6_9ENTR	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	alkA DXF85_09800 I6L54_16625	Citrobacter pasteurii	289	UP000468420: Unassembled WGS sequence; UP000683579: Chromosome
A0A6N6MLW8	A0A6N6MLW8	unreviewed	A0A6N6MLW8_9HYPH	methylated-DNA--[protein]-cysteine S-methyltransferase (EC 2.1.1.63)	ada F6X51_23245	Methylobacterium planeticum	709	UP000441523: Unassembled WGS sequence
A0A6N6NP32	A0A6N6NP32	unreviewed	A0A6N6NP32_9ACTN	Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63) (6-O-methylguanine-DNA methyltransferase) (MGMT) (O-6-methylguanine-DNA-alkyltransferase)	F8C90_04690	Ellagibacter isourolithinifaciens	770	UP000468668: Unassembled WGS sequence
A0A6N6VLL0	A0A6N6VLL0	unreviewed	A0A6N6VLL0_9HYPH	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	F2P47_00600	Parvibaculum sedimenti	491	UP000468901: Unassembled WGS sequence
A0A6N6WK90	A0A6N6WK90	unreviewed	A0A6N6WK90_9BURK	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	FSO04_05745	Paraburkholderia madseniana	305	UP000463700: Unassembled WGS sequence
A0A6N7ELJ0	A0A6N7ELJ0	unreviewed	A0A6N7ELJ0_9MICO	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	GB881_10220	Georgenia subflava	281	UP000437709: Unassembled WGS sequence
A0A6N7KJU0	A0A6N7KJU0	unreviewed	A0A6N7KJU0_9ACTN	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	F7Q99_05175	Streptomyces kaniharaensis	530	UP000450000: Unassembled WGS sequence
A0A6N7N3S3	A0A6N7N3S3	unreviewed	A0A6N7N3S3_ECOLX	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	C3F40_27405	Escherichia coli	282	UP000239554: Chromosome
A0A6N7PHS9	A0A6N7PHS9	unreviewed	A0A6N7PHS9_9BACT	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	GF068_00225	Polyangium spumosum	485	UP000440224: Unassembled WGS sequence
A0A6N7QGY1	A0A6N7QGY1	unreviewed	A0A6N7QGY1_9XANT	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	GIY21_14465 GIY22_13995	Xanthomonas sontii	490	UP000437931: Unassembled WGS sequence; UP000439314: Unassembled WGS sequence
A0A6N7RRG9	A0A6N7RRG9	unreviewed	A0A6N7RRG9_9ACTN	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	GJG86_16060	Eggerthella guodeyinii	505	UP000438093: Unassembled WGS sequence
A0A6N7Z2F1	A0A6N7Z2F1	unreviewed	A0A6N7Z2F1_9PSEU	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	GKO32_09415	Amycolatopsis pithecellobii	490	UP000440096: Unassembled WGS sequence
A0A6N7ZDZ0	A0A6N7ZDZ0	unreviewed	A0A6N7ZDZ0_9MICO	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	GJV82_01595	Cellulosimicrobium composti	544	UP000440668: Unassembled WGS sequence
A0A6N8FEF4	A0A6N8FEF4	unreviewed	A0A6N8FEF4_9GAMM	Helix-turn-helix domain-containing protein	GNP35_14255	Psychrosphaera haliotis	458	UP000439994: Unassembled WGS sequence
A0A6N8GMX1	A0A6N8GMX1	unreviewed	A0A6N8GMX1_9MICC	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	GMA12_14020	Kocuria sediminis	302	UP000436989: Unassembled WGS sequence
A0A6N8II00	A0A6N8II00	unreviewed	A0A6N8II00_9ACTN	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	GO738_09240	Gordonibacter urolithinfaciens	501	UP000468327: Unassembled WGS sequence
A0A6N8ITW8	A0A6N8ITW8	unreviewed	A0A6N8ITW8_9BURK	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	GON04_08455	Ramlibacter pinisoli	499	UP000469385: Unassembled WGS sequence
A0A6N9H4G9	A0A6N9H4G9	unreviewed	A0A6N9H4G9_9MICO	DNA-3-methyladenine glycosylase AlkA N-terminal domain-containing protein	GSY69_02920	Brevibacterium rongguiense	319	UP000469215: Unassembled WGS sequence
A0A6N9R348	A0A6N9R348	unreviewed	A0A6N9R348_9MICC	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	GKZ75_12890	Kocuria marina subsp. indica	500	UP000471026: Unassembled WGS sequence
A0A6N9TDT1	A0A6N9TDT1	unreviewed	A0A6N9TDT1_9ALTE	Helix-turn-helix domain-containing protein	GTQ48_07300	Alteromonas genovensis	524	UP000471381: Unassembled WGS sequence
A0A6N9TWL8	A0A6N9TWL8	unreviewed	A0A6N9TWL8_STRHA	Probable bifunctional transcriptional activator/DNA repair enzyme AlkA (EC 2.1.1.n11) (EC 3.2.2.21) (Regulatory protein AlkA)	G3I29_10340	Streptomyces halstedii	490	UP000471293: Unassembled WGS sequence
A0A6N9U0P1	A0A6N9U0P1	unreviewed	A0A6N9U0P1_STRHA	DNA-3-methyladenine glycosylase 2 family protein	G3I29_08825	Streptomyces halstedii	74	UP000471293: Unassembled WGS sequence
A0A6N9UVP0	A0A6N9UVP0	unreviewed	A0A6N9UVP0_9ACTN	Probable bifunctional transcriptional activator/DNA repair enzyme AlkA (EC 2.1.1.n11) (EC 3.2.2.21) (Regulatory protein AlkA)	G3I46_28410	Streptomyces coelicoflavus	490	UP000469545: Unassembled WGS sequence
A0A6N9UW54	A0A6N9UW54	unreviewed	A0A6N9UW54_9ACTN	DNA-3-methyladenine glycosylase 2 family protein	G3I46_30750	Streptomyces coelicoflavus	195	UP000469545: Unassembled WGS sequence
A0A6N9V682	A0A6N9V682	unreviewed	A0A6N9V682_STRMI	Probable bifunctional transcriptional activator/DNA repair enzyme AlkA (EC 2.1.1.n11) (EC 3.2.2.21) (Regulatory protein AlkA)	G3I39_13155	Streptomyces microflavus (Streptomyces lipmanii)	490	UP000471648: Unassembled WGS sequence
A0A6N9VKE2	A0A6N9VKE2	unreviewed	A0A6N9VKE2_STRMI	DNA-3-methyladenine glycosylase 2 family protein	G3I39_31395	Streptomyces microflavus (Streptomyces lipmanii)	387	UP000471648: Unassembled WGS sequence
A0A6N9YK18	A0A6N9YK18	unreviewed	A0A6N9YK18_9ACTN	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	G1H11_08235	Phytoactinopolyspora alkaliphila	499	UP000469185: Unassembled WGS sequence
A0A6P0GE55	A0A6P0GE55	unreviewed	A0A6P0GE55_9ACTN	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	GCU54_05050	Geodermatophilus normandii	494	UP000471126: Unassembled WGS sequence
A0A6P0HAI0	A0A6P0HAI0	unreviewed	A0A6P0HAI0_9ACTN	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	G3R41_13020 GCU67_12365	Modestobacter muralis	492	UP000468828: Unassembled WGS sequence; UP000471152: Unassembled WGS sequence
A0A6P0HRJ9	A0A6P0HRJ9	unreviewed	A0A6P0HRJ9_9ACTN	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	G3T38_17310	Nocardioides zeae	516	UP000468687: Unassembled WGS sequence
A0A6P1CQC8	A0A6P1CQC8	unreviewed	A0A6P1CQC8_9NOCA	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	GV791_19665	Nocardia cyriacigeorgica	500	UP000471166: Unassembled WGS sequence
A0A6P1NIV6	A0A6P1NIV6	unreviewed	A0A6P1NIV6_9MICC	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	GU243_01910	Pseudarthrobacter psychrotolerans	508	UP000464186: Chromosome
A0A6P1PX65	A0A6P1PX65	unreviewed	A0A6P1PX65_9GAMM	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	alkA C7M51_00588	Mixta intestinalis	485	UP000464053: Chromosome
A0A6P1T743	A0A6P1T743	unreviewed	A0A6P1T743_9GAMM	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	GTQ55_06280 HNQ53_003411	Microbulbifer hydrolyticus	496	UP000464675: Chromosome; UP000563601: Unassembled WGS sequence
A0A6P1TNM5	A0A6P1TNM5	unreviewed	A0A6P1TNM5_9FIRM	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	Ana3638_12480	Anaerocolumna sedimenticola	486	UP000464314: Chromosome
A0A6P1V3V9	A0A6P1V3V9	unreviewed	A0A6P1V3V9_9ENTR	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	alkA GW952_01995	Klebsiella michiganensis	282	UP000464389: Chromosome
A0A6P2CBR4	A0A6P2CBR4	unreviewed	A0A6P2CBR4_9ACTN	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	EAS64_01920	Trebonia kvetii	523	UP000460272: Unassembled WGS sequence
A0A6P2CIZ2	A0A6P2CIZ2	unreviewed	A0A6P2CIZ2_9NOCA	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	DW322_01835	Rhodococcus rhodnii	274	UP000471120: Unassembled WGS sequence
A0A6P2D286	A0A6P2D286	unreviewed	A0A6P2D286_9BACT	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	SOIL9_23130	Gemmata massiliana	286	UP000464178: Chromosome
A0A6P2GJ76	A0A6P2GJ76	unreviewed	A0A6P2GJ76_9BURK	Helix-turn-helix domain-containing protein (Transcriptional regulator Ada / DNA-3-methyladenine glycosylase II / DNA-O6-methylguanine--protein-cysteine S-methyltransferase)	BAN20980_05708 JQK92_28790	Burkholderia anthina	489	UP000494201: Unassembled WGS sequence; UP000755577: Unassembled WGS sequence
A0A6P2GJ92	A0A6P2GJ92	unreviewed	A0A6P2GJ92_9BURK	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	BAN20980_05935 JQK92_18645	Burkholderia anthina	324	UP000494201: Unassembled WGS sequence; UP000755577: Unassembled WGS sequence
A0A6P2K576	A0A6P2K576	unreviewed	A0A6P2K576_9BURK	Transcriptional regulator Ada / DNA-3-methyladenine glycosylase II / DNA-O6-methylguanine--protein-cysteine S-methyltransferase	BLA13014_02277	Burkholderia aenigmatica	492	UP000494261: Unassembled WGS sequence
A0A6P2K6W7	A0A6P2K6W7	unreviewed	A0A6P2K6W7_BURL3	Transcriptional regulator Ada / DNA-3-methyladenine glycosylase II / DNA-O6-methylguanine--protein-cysteine S-methyltransferase	BLA6863_02424	Burkholderia lata (strain ATCC 17760 / DSM 23089 / LMG 22485 / NCIMB 9086 / R18194 / 383)	498	UP000494170: Unassembled WGS sequence
A0A6P2LLD9	A0A6P2LLD9	unreviewed	A0A6P2LLD9_9BURK	Transcriptional regulator Ada / DNA-3-methyladenine glycosylase II / DNA-O6-methylguanine--protein-cysteine S-methyltransferase	BPS26883_03192	Burkholderia pseudomultivorans	495	UP000494162: Unassembled WGS sequence
A0A6P2MRA7	A0A6P2MRA7	unreviewed	A0A6P2MRA7_9BURK	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	BLA24064_04075	Burkholderia latens	487	UP000494222: Unassembled WGS sequence
A0A6P2MSQ3	A0A6P2MSQ3	unreviewed	A0A6P2MSQ3_9BURK	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	BDI24065_04030	Burkholderia diffusa	324	UP000494125: Unassembled WGS sequence
A0A6P2N8R2	A0A6P2N8R2	unreviewed	A0A6P2N8R2_BURL3	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	BLA6863_04227	Burkholderia lata (strain ATCC 17760 / DSM 23089 / LMG 22485 / NCIMB 9086 / R18194 / 383)	319	UP000494170: Unassembled WGS sequence
A0A6P2NRP6	A0A6P2NRP6	unreviewed	A0A6P2NRP6_BURL3	Transcriptional regulator Ada / DNA-3-methyladenine glycosylase II / DNA-O6-methylguanine--protein-cysteine S-methyltransferase	BLA23254_04639	Burkholderia lata (strain ATCC 17760 / DSM 23089 / LMG 22485 / NCIMB 9086 / R18194 / 383)	494	UP000494218: Unassembled WGS sequence
A0A6P2NZA7	A0A6P2NZA7	unreviewed	A0A6P2NZA7_BURL3	Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63) (6-O-methylguanine-DNA methyltransferase) (MGMT) (O-6-methylguanine-DNA-alkyltransferase)	BLA15945_04876	Burkholderia lata (strain ATCC 17760 / DSM 23089 / LMG 22485 / NCIMB 9086 / R18194 / 383)	669	UP000494174: Unassembled WGS sequence
A0A6P2P1A6	A0A6P2P1A6	unreviewed	A0A6P2P1A6_9BURK	Transcriptional regulator Ada / DNA-3-methyladenine glycosylase II / DNA-O6-methylguanine--protein-cysteine S-methyltransferase	BDI24065_04898	Burkholderia diffusa	544	UP000494125: Unassembled WGS sequence
A0A6P2Q7J5	A0A6P2Q7J5	unreviewed	A0A6P2Q7J5_9BURK	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	BPS26883_05572	Burkholderia pseudomultivorans	324	UP000494162: Unassembled WGS sequence
A0A6P2RN61	A0A6P2RN61	unreviewed	A0A6P2RN61_BURL3	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	BLA23254_06694	Burkholderia lata (strain ATCC 17760 / DSM 23089 / LMG 22485 / NCIMB 9086 / R18194 / 383)	319	UP000494218: Unassembled WGS sequence
A0A6P2RWS9	A0A6P2RWS9	unreviewed	A0A6P2RWS9_9BURK	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	BLA13014_06839	Burkholderia aenigmatica	319	UP000494261: Unassembled WGS sequence
A0A6P2RXZ6	A0A6P2RXZ6	unreviewed	A0A6P2RXZ6_BURL3	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	BLA15945_07139	Burkholderia lata (strain ATCC 17760 / DSM 23089 / LMG 22485 / NCIMB 9086 / R18194 / 383)	319	UP000494174: Unassembled WGS sequence
A0A6P2Y8D6	A0A6P2Y8D6	unreviewed	A0A6P2Y8D6_BURL3	Transcriptional regulator Ada / DNA-3-methyladenine glycosylase II / DNA-O6-methylguanine--protein-cysteine S-methyltransferase	BLA18109_05760	Burkholderia lata (strain ATCC 17760 / DSM 23089 / LMG 22485 / NCIMB 9086 / R18194 / 383)	488	UP000494260: Unassembled WGS sequence
A0A6P3A1J5	A0A6P3A1J5	unreviewed	A0A6P3A1J5_BURL3	Transcriptional regulator Ada / DNA-3-methyladenine glycosylase II / DNA-O6-methylguanine--protein-cysteine S-methyltransferase	BLA18112_06538	Burkholderia lata (strain ATCC 17760 / DSM 23089 / LMG 22485 / NCIMB 9086 / R18194 / 383)	492	UP000494274: Unassembled WGS sequence
A0A6P3A344	A0A6P3A344	unreviewed	A0A6P3A344_9BURK	Transcriptional regulator Ada / DNA-3-methyladenine glycosylase II / DNA-O6-methylguanine--protein-cysteine S-methyltransferase	BCO71171_04679	Burkholderia contaminans	492	UP000494182: Unassembled WGS sequence
A0A6P3A6A2	A0A6P3A6A2	unreviewed	A0A6P3A6A2_BURL3	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	BLA18109_07267	Burkholderia lata (strain ATCC 17760 / DSM 23089 / LMG 22485 / NCIMB 9086 / R18194 / 383)	319	UP000494260: Unassembled WGS sequence
A0A6P3AD85	A0A6P3AD85	unreviewed	A0A6P3AD85_BURL3	Transcriptional regulator Ada / DNA-3-methyladenine glycosylase II / DNA-O6-methylguanine--protein-cysteine S-methyltransferase	BLA39750_05683	Burkholderia lata (strain ATCC 17760 / DSM 23089 / LMG 22485 / NCIMB 9086 / R18194 / 383)	491	UP000494110: Unassembled WGS sequence
A0A6P3AGZ5	A0A6P3AGZ5	unreviewed	A0A6P3AGZ5_BURL3	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	BLA18112_07147	Burkholderia lata (strain ATCC 17760 / DSM 23089 / LMG 22485 / NCIMB 9086 / R18194 / 383)	319	UP000494274: Unassembled WGS sequence
A0A6P3B432	A0A6P3B432	unreviewed	A0A6P3B432_BURL3	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	BLA39750_06539	Burkholderia lata (strain ATCC 17760 / DSM 23089 / LMG 22485 / NCIMB 9086 / R18194 / 383)	319	UP000494110: Unassembled WGS sequence
A0A6P3B6F0	A0A6P3B6F0	unreviewed	A0A6P3B6F0_9BURK	Transcriptional regulator Ada / DNA-3-methyladenine glycosylase II / DNA-O6-methylguanine--protein-cysteine S-methyltransferase	BCO71033_05856	Burkholderia contaminans	494	UP000494109: Unassembled WGS sequence
A0A6P3BQ28	A0A6P3BQ28	unreviewed	A0A6P3BQ28_9BURK	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	BCO71033_06637	Burkholderia contaminans	319	UP000494109: Unassembled WGS sequence
A0A6P3C8C7	A0A6P3C8C7	unreviewed	A0A6P3C8C7_9BURK	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	BCO71171_07314	Burkholderia contaminans	319	UP000494182: Unassembled WGS sequence
A0A6S4T394	A0A6S4T394	unreviewed	A0A6S4T394_AERCA	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	WP2W18E01_08960	Aeromonas caviae (Aeromonas punctata)	502	UP000515756: Chromosome
A0A6S5D787	A0A6S5D787	unreviewed	A0A6S5D787_AERVE	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	WP3W19E03_09480	Aeromonas veronii	514	UP000515442: Chromosome
A0A6S5JU76	A0A6S5JU76	unreviewed	A0A6S5JU76_ENTCL	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	WP5S18C02_32380	Enterobacter cloacae	290	UP000515488: Chromosome
A0A6S5RR44	A0A6S5RR44	unreviewed	A0A6S5RR44_9GAMM	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	alkA WP8S17C03_32090	Metapseudomonas otitidis	293	UP000515591: Chromosome
A0A6S6P7U8	A0A6S6P7U8	unreviewed	A0A6S6P7U8_9MYCO	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	alkA NIIDNTM18_37370	Mycolicibacterium litorale	496	UP000515734: Chromosome
A0A6S6QQ53	A0A6S6QQ53	unreviewed	A0A6S6QQ53_9FIRM	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	acsn021_02830	Anaerocolumna cellulosilytica	486	UP000515561: Chromosome
A0A6S6ZAT2	A0A6S6ZAT2	unreviewed	A0A6S6ZAT2_9BURK	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	alkA LMG3458_00990	Achromobacter deleyi	485	UP000494111: Unassembled WGS sequence
A0A6S6ZS36	A0A6S6ZS36	unreviewed	A0A6S6ZS36_9BURK	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	alkA_2 LMG3431_05042	Achromobacter pestifer	481	UP000494108: Unassembled WGS sequence
A0A6S7AVT2	A0A6S7AVT2	unreviewed	A0A6S7AVT2_9BURK	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	alkA LMG3441_02812	Achromobacter kerstersii	482	UP000494269: Unassembled WGS sequence
A0A6S7B4B7	A0A6S7B4B7	unreviewed	A0A6S7B4B7_9BURK	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	alkA_1 LMG28614_02050	Paraburkholderia ultramafica	305	UP000494365: Unassembled WGS sequence
A0A6S7B5Y0	A0A6S7B5Y0	unreviewed	A0A6S7B5Y0_9BURK	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	alkA LMG26690_03730	Achromobacter animicus	481	UP000494214: Unassembled WGS sequence
A0A6S7BIF0	A0A6S7BIF0	unreviewed	A0A6S7BIF0_9BURK	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	alkA_2 LMG28614_05241	Paraburkholderia ultramafica	511	UP000494365: Unassembled WGS sequence
A0A6S7BJR7	A0A6S7BJR7	unreviewed	A0A6S7BJR7_9BURK	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	alkA LMG28138_03048	Pararobbsia alpina	483	UP000494115: Unassembled WGS sequence
A0A6S7BXP2	A0A6S7BXP2	unreviewed	A0A6S7BXP2_9BURK	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	alkA_1 LMG1861_00333	Achromobacter piechaudii	482	UP000494105: Unassembled WGS sequence
A0A6S7ECF9	A0A6S7ECF9	unreviewed	A0A6S7ECF9_9BURK	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	alkA LMG26788_04549	Achromobacter pulmonis	485	UP000494203: Unassembled WGS sequence
A0A6S7EPG7	A0A6S7EPG7	unreviewed	A0A6S7EPG7_9BURK	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	alkA LMG26841_05573	Achromobacter dolens	482	UP000494272: Unassembled WGS sequence
